Opcion,Nombre Completo,CURP,NSS,Telefono
Para mí,Alejandro Ruiz Gómez,RZGA800101HDFRXX01,11111111111,525551111111
Para alguien más,Beatriz Luna Solis,LUSB810202MDFLXX02,22222222222,525552222222
Para mí,Carlos Mendoza Vega,MEVC820303HDFMXX03,33333333333,525553333333
Para alguien más,Diana Castro Silva,CASD830404MDFCXX04,44444444444,525554444444
Para mí,Eduardo Rojas Pineda,ROPE840505HDFRXX05,55555555555,525555555555
Para alguien más,Fernanda Soto Cruz,SOCF850606MDFSXX06,66666666666,525556666666
Para mí,Gerardo Vargas Ríos,VARG860707HDFVXX07,77777777777,525557777777
Para alguien más,Helena Peña Ortiz,PEOH870808MDFPXX08,88888888888,525558888888
Para mí,Ignacio Torres Paz,TOPI880909HDFTXX09,99999999999,525559999999
Para alguien más,Julia Navarro Gil,NAGJ891010MDFNXX10,10101010101,525551010101
Para mí,Kevin Ramos Flores,RAFK901111HDFRXX11,11223344556,525551122334
Para alguien más,Laura Morales Díaz,MODL911212MDFMXX12,12233445567,525551223344
Para mí,Manuel Reyes Cano,RECM920113HDFRXX13,13344556678,525551334455
Para alguien más,Norma Vega León,VELN930214MDFVXX14,14455667789,525551445566
Para mí,Oscar Silva Mora,SIMO940315HDFSXX15,15566778890,525551556677
Para alguien más,Patricia Cruz Rey,CURP950416MDFCXX16,16677889901,525551667788
Para mí,Quintín Ortiz Paz,ORPQ960517HDFOXX17,17788990012,525551778899
Para alguien más,Rosa Gil Luna,GILR970618MDFGXX18,18899001123,525551889900
Para mí,Sergio Paz Vega,PAVS980719HDFPXX19,19900112234,525551990011
Para alguien más,Teresa Ríos Soto,RIST990820MDFRXX20,20011223345,525552001122
Para mí,Ulises Cano Mora,CAMU000921HDFCXX21,21122334456,525552112233
Para alguien más,Valeria León Rey,LERV011022MDFLXX22,22233445567,525552223344
Para mí,Waldo Rey Cruz,RECW021123HDFRXX23,23344556678,525552334455
Para alguien más,Ximena Mora Ríos,MORX031224MDFMXX24,24455667789,525552445566
Para mí,Yael Soto Gil,SOGY040125HDFSXX25,25566778890,525552556677
Para alguien más,Zaida Luna Paz,LUPZ050226MDFLXX26,26677889901,525552667788
Para mí,Alberto Vega Cano,VECA060327HDFAXX27,27788990012,525552778899
Para alguien más,Brenda Ríos León,RILB070428MDFRXX28,28899001123,525552889900
Para mí,Cristian Paz Rey,PARC080529HDFPXX29,29900112234,525552990011
Para alguien más,Daniela Gil Mora,GIMD090630MDFGXX30,30011223345,525553001122
